,name,geometry
0,가창,"POLYGON ((128.5840024 35.899766299999996, 128.58290970000002 35.9003078, 128.58311129999998 35.9024306, 128.59437069999998 35.9075757, 128.6032302 35.9064496, 128.6041435 35.902538899999996, 128.5840024 35.899766299999996))"
1,경대칠성,"POLYGON ((128.6058117 35.8689894, 128.6021019 35.869175899999995, 128.6003565 35.869994899999995, 128.5990236 35.8716711, 128.59255729999998 35.879975099999996, 128.5920505 35.8844948, 128.6028361 35.8942094, 128.6059368 35.8936158, 128.6082061 35.89258220000001, 128.6082493 35.8925591, 128.60886159999998 35.892213, 128.6102315 35.8895909, 128.61347320000002 35.8809806, 128.6136414 35.8804251, 128.61397759999997 35.8785034, 128.6064346 35.869699, 128.6058117 35.8689894))"
2,대봉희망,"POLYGON ((128.6147243 35.843503399999996, 128.6135449 35.843610399999996, 128.5996935 35.8454578, 128.59681319999999 35.8477323, 128.5969635 35.8561751, 128.5970288 35.8563001, 128.5984325 35.8571258, 128.5995356 35.8572396, 128.61395729999998 35.85835720000001, 128.61732609999999 35.856588099999996, 128.6187055 35.854256400000004, 128.61841280000002 35.8466249, 128.6177321 35.8460043, 128.6147243 35.843503399999996))"
3,도청경대,"POLYGON ((128.59590490000002 35.8801901, 128.5931674 35.883787100000006, 128.59308959999998 35.8839296, 128.5931753 35.88424439999999, 128.6012976 35.8950531, 128.6029165 35.8958782, 128.60456489999999 35.8955449, 128.6095355 35.893726, 128.6103034 35.893404, 128.6122055 35.889449299999995, 128.61229029999998 35.889201899999996, 128.6109994 35.8821107, 128.59590490000002 35.8801901))"
4,동신수성,"POLYGON ((128.61728670000002 35.856012799999995, 128.6001393 35.8591417, 128.5988909 35.8600496, 128.5982352 35.8646801, 128.6048848 35.8704045, 128.6206568 35.8746339, 128.6227081 35.8744824, 128.625363 35.8715958, 128.629121 35.8667145, 128.6253877 35.8604815, 128.6239078 35.8585363, 128.6224594 35.8579091, 128.61728670000002 35.856012799999995))"
5,두산용두,"POLYGON ((128.6167979 35.828638299999994, 128.6142705 35.830924200000005, 128.61348030000002 35.8318565, 128.6135044 35.8322274, 128.6135686 35.8332143, 128.6185098 35.8297913, 128.6181996 35.8291182, 128.6167979 35.828638299999994))"
6,상동두산,"POLYGON ((128.6029295 35.8259021, 128.5963593 35.832569899999996, 128.5988386 35.8378283, 128.6134515 35.837664700000005, 128.6150519 35.836658, 128.6157629 35.83606029999999, 128.61680379999999 35.8350368, 128.6185098 35.8297913, 128.6181996 35.8291182, 128.6167979 35.828638299999994, 128.6029295 35.8259021))"
7,성북도청,"POLYGON ((128.59493390000003 35.8824179, 128.5899913 35.8828419, 128.58207290000001 35.889513799999996, 128.58179850000002 35.8901605, 128.58575290000002 35.8923857, 128.6014868 35.8983691, 128.60216979999998 35.898366100000004, 128.6082494 35.8925825, 128.6082493 35.8925591, 128.60791329999998 35.8915151, 128.5963253 35.8827894, 128.59493390000003 35.8824179))"
8,수성대봉,"POLYGON ((128.616922 35.8521164, 128.59945729999998 35.8529364, 128.5985187 35.8531133, 128.5969635 35.8561751, 128.5964334 35.8600085, 128.5982352 35.8646801, 128.6037684 35.8673649, 128.6064251 35.8683706, 128.6173768 35.857186299999995, 128.6187055 35.854256400000004, 128.6186915 35.8541152, 128.6186303 35.8535178, 128.616922 35.8521164))"
9,신천동신,"POLYGON ((128.6240608 35.862732, 128.6049606 35.8671023, 128.6022744 35.8716081, 128.6017543 35.8739968, 128.6135526 35.8791959, 128.6138562 35.879317, 128.6158814 35.8797106, 128.6213047 35.87744910000001, 128.6230483 35.8758549, 128.62830559999998 35.866775, 128.6240608 35.862732))"
10,용두파동,"POLYGON ((128.6042905 35.817735, 128.6022178 35.8182864, 128.6142705 35.830924200000005, 128.61506359999998 35.830330200000006, 128.619644 35.8259298, 128.6042905 35.817735))"
11,중동상동,"POLYGON ((128.61348030000002 35.8318565, 128.5981104 35.8321043, 128.5963593 35.832569899999996, 128.595029 35.834807899999994, 128.59518219999998 35.8391472, 128.5956656 35.8426652, 128.59830159999999 35.8448184, 128.5996935 35.8454578, 128.6002026 35.8456667, 128.6137009 35.8453464, 128.6141375 35.84495379999999, 128.61577649999998 35.843407899999995, 128.6182384 35.840858000000004, 128.617795 35.83509960000001, 128.6143561 35.832277000000005, 128.61348030000002 35.8318565))"
12,칠성신천,"POLYGON ((128.6063482 35.8677527, 128.6021019 35.869175899999995, 128.6007306 35.870758, 128.5988115 35.87326420000001, 128.59604270000003 35.8774657, 128.596069 35.8775556, 128.6087374 35.8841883, 128.6092501 35.8841379, 128.6136845 35.882234499999996, 128.6200538 35.8775768, 128.62094 35.8761419, 128.6208612 35.8740569, 128.6063482 35.8677527))"
13,침산,"POLYGON ((128.5840024 35.899766299999996, 128.58290970000002 35.9003078, 128.58311129999998 35.9024306, 128.59437069999998 35.9075757, 128.6032302 35.9064496, 128.6041435 35.902538899999996, 128.5840024 35.899766299999996))"
14,침산성북,"POLYGON ((128.58649 35.88925, 128.5833576 35.889878, 128.58306729999998 35.889967600000006, 128.5826487 35.900783600000004, 128.5833692 35.9017195, 128.5852165 35.9025943, 128.6008425 35.9024316, 128.6014868 35.8983691, 128.6013782 35.8943509, 128.58649 35.88925))"
15,파동가창,"POLYGON ((128.6248841 35.797807899999995, 128.6236875 35.798669200000006, 128.6237997 35.7987307, 128.6250777 35.797822499999995, 128.6248841 35.797807899999995))"
16,희망중동,"POLYGON ((128.6135209 35.838403799999995, 128.59947759999997 35.8429726, 128.5971407 35.8449025, 128.5949069 35.847041600000004, 128.5950255 35.848023100000006, 128.5965414 35.8498917, 128.5984946 35.8519703, 128.60057690000002 35.8528055, 128.60127920000002 35.8529702, 128.61411189999998 35.8497115, 128.6161432 35.8474786, 128.6167824 35.8467521, 128.6167982 35.8451031, 128.6168146 35.8403773, 128.6150403 35.8389971, 128.6135209 35.838403799999995))"
