name,cate1,cate2
스파크랜드,위락적,테마파크
국채보상운동기념공원,자연적,테마공원
동성로,사회적,"거리, 골목"
공룡공원,자연적,테마공원
똥집골목,사회적,"거리, 골목"
대구아쿠아리움,위락적,아쿠아리움
에코테마파크 대구숲,자연적,유원지
옛구암서원,문화적,"문화, 유적"
꽃보라동산,자연적,근린공원
대구 삼성 창조 캠퍼스,산업적,복합문화공간
향촌문화관,문화적,전시관
대구문학관,문화적,전시관
칠성시장,사회적,시장
2.28기념중앙공원,자연적,테마공원
방천시장,사회적,시장
교동시장,사회적,시장
달구벌대종,문화적,문화재
김광석 길,위락적,도보코스
대구제일교회,사회적,개신교
봉산문화회관,사회적,공연장
대구향교,문화적,"문화, 유적"
봉산문화거리,사회적,문화거리
샛터공원,자연적,근린공원
수성공원,자연적,근린공원
용두산,자연적,산
아르떼 수성랜드,위락적,테마파크
수성못,자연적,유원지
상화동산,자연적,근린공원
들안길공원,자연적,공원
건들바위,문화적,기념물
법이산,자연적,산
연암공원,자연적,근린공원
대현어린이공원,자연적,공원
대구근대역사관,문화적,박물관
경상감영공원,자연적,테마공원
천주교 대구대교구 주교좌 범어대성당,사회적,천주교
침산공원,자연적,근린공원
경북대학교 박물관,문화적,박물관
태평소공원,자연적,근린공원
희움 일본군 위안부 역사관,문화적,박물관
약령시 한의약 박물관,문화적,박물관
천주교 대구대교구 주교좌 계산대성당,사회적,천주교
교남 YMCA회관,문화적,기념관
서상돈고택,문화적,"문화, 유적"
이상화 고택,문화적,문화재
2.28민주운동기념회관,문화적,기념관
대구교육박물관,문화적,박물관
대구예술발전소,문화적,전시관
선교사 스윗즈주택(선교박물관),문화적,문화재
3.1만세운동계단,문화적,문화재
청라언덕,자연적,지역명소
천주교 성모당,사회적,천주교
복현 장미공원,자연적,근린공원
범어공원,자연적,근린공원
관풍루,문화적,문화재
남산초등학교 강당,문화적,문화재
수성아쿠아수영장,위락적,수영장
대구광역시립 중앙도서관,사회적,도서관
대구도시철도,사회적,철도
현대백화점대구점,산업적,백화점
평화시장,사회적,시장
신세계백화점 대구점,산업적,백화점
